rad,deg,Cl,Cd,Cn,Ca
-3.141592654,-180,3.43E-16,0,-3.43E-16,4.20E-32
-3.054326191,-175,0.243107449,0.013673022,-0.243374034,0.007567218
-2.967059728,-170,0.478828201,0.054276641,-0.480978764,0.029695587
-2.879793266,-165,0.7,0.120577137,-0.707355738,0.064704761
-2.792526803,-160,0.899902654,0.210560001,-0.917647645,0.109923155
-2.705260341,-155,1.07246222,0.321491151,-1.107848893,0.161872185
-2.617993878,-150,1.212435565,0.45,-1.275,0.216506351
-2.530727415,-145,1.315569669,0.592181871,-1.417313151,0.269492772
-2.443460953,-140,1.378730854,0.74371664,-1.534220951,0.316511111
-2.35619449,-135,1.4,0.9,-1.626345597,0.353553391
-2.268928028,-130,1.378730854,1.05628336,-1.695391108,0.377203253
-2.181661565,-125,1.315569669,1.207818129,-1.743966452,0.384875566
-2.094395102,-120,1.212435565,1.35,-1.775352078,0.375
-2.00712864,-115,1.07246222,1.478508849,-1.793226202,0.347136022
-1.919862177,-110,0.899902654,1.589439999,-1.801369873,0.302011387
-1.832595715,-105,0.7,1.679422863,-1.803371249,0.241481457
-1.745329252,-100,0.478828201,1.745723359,-1.802349543,0.168412044
-1.658062789,-95,0.243107449,1.786326978,-1.800717675,0.086493697
-1.570796327,-90,-1.72E-16,1.8,-1.8,-6.13E-17
-1.483529864,-85,-0.243107449,1.786326978,-1.800717675,-0.086493697
-1.396263402,-80,-0.478828201,1.745723359,-1.802349543,-0.168412044
-1.308996939,-75,-0.7,1.679422863,-1.803371249,-0.241481457
-1.221730476,-70,-0.899902654,1.589439999,-1.801369873,-0.302011387
-1.134464014,-65,-1.07246222,1.478508849,-1.793226202,-0.347136022
-1.047197551,-60,-1.212435565,1.35,-1.775352078,-0.375
-0.959931089,-55,-1.315569669,1.207818129,-1.743966452,-0.384875566
-0.872664626,-50,-1.378730854,1.05628336,-1.695391108,-0.377203253
-0.785398163,-45,-1.4,0.9,-1.626345597,-0.353553391
-0.698131701,-40,-1.378730854,0.74371664,-1.534220951,-0.316511111
-0.610865238,-35,-1.315569669,0.592181871,-1.417313151,-0.269492772
-0.523598776,-30,-1.212435565,0.45,-1.275,-0.216506351
-0.436332313,-25,-1.07246222,0.321491151,-1.107848893,-0.161872185
-0.34906585,-20,-0.899902654,0.210560001,-0.917647645,-0.109923155
-0.261799388,-15,-0.7,0.120577137,-0.707355738,-0.064704761
-0.174532925,-10,-0.478828201,0.054276641,-0.480978764,-0.029695587
-0.087266463,-5,-0.243107449,0.013673022,-0.243374034,-0.007567218
0,0,0,0,0,0
0.087266463,5,0.243107449,0.013673022,0.243374034,-0.007567218
0.174532925,10,0.478828201,0.054276641,0.480978764,-0.029695587
0.261799388,15,0.7,0.120577137,0.707355738,-0.064704761
0.34906585,20,0.899902654,0.210560001,0.917647645,-0.109923155
0.436332313,25,1.07246222,0.321491151,1.107848893,-0.161872185
0.523598776,30,1.212435565,0.45,1.275,-0.216506351
0.610865238,35,1.315569669,0.592181871,1.417313151,-0.269492772
0.698131701,40,1.378730854,0.74371664,1.534220951,-0.316511111
0.785398163,45,1.4,0.9,1.626345597,-0.353553391
0.872664626,50,1.378730854,1.05628336,1.695391108,-0.377203253
0.959931089,55,1.315569669,1.207818129,1.743966452,-0.384875566
1.047197551,60,1.212435565,1.35,1.775352078,-0.375
1.134464014,65,1.07246222,1.478508849,1.793226202,-0.347136022
1.221730476,70,0.899902654,1.589439999,1.801369873,-0.302011387
1.308996939,75,0.7,1.679422863,1.803371249,-0.241481457
1.396263402,80,0.478828201,1.745723359,1.802349543,-0.168412044
1.483529864,85,0.243107449,1.786326978,1.800717675,-0.086493697
1.570796327,90,1.72E-16,1.8,1.8,-6.13E-17
1.658062789,95,-0.243107449,1.786326978,1.800717675,0.086493697
1.745329252,100,-0.478828201,1.745723359,1.802349543,0.168412044
1.832595715,105,-0.7,1.679422863,1.803371249,0.241481457
1.919862177,110,-0.899902654,1.589439999,1.801369873,0.302011387
2.00712864,115,-1.07246222,1.478508849,1.793226202,0.347136022
2.094395102,120,-1.212435565,1.35,1.775352078,0.375
2.181661565,125,-1.315569669,1.207818129,1.743966452,0.384875566
2.268928028,130,-1.378730854,1.05628336,1.695391108,0.377203253
2.35619449,135,-1.4,0.9,1.626345597,0.353553391
2.443460953,140,-1.378730854,0.74371664,1.534220951,0.316511111
2.530727415,145,-1.315569669,0.592181871,1.417313151,0.269492772
2.617993878,150,-1.212435565,0.45,1.275,0.216506351
2.705260341,155,-1.07246222,0.321491151,1.107848893,0.161872185
2.792526803,160,-0.899902654,0.210560001,0.917647645,0.109923155
2.879793266,165,-0.7,0.120577137,0.707355738,0.064704761
2.967059728,170,-0.478828201,0.054276641,0.480978764,0.029695587
3.054326191,175,-0.243107449,0.013673022,0.243374034,0.007567218
3.141592654,180,-3.43E-16,0,3.43E-16,4.20E-32
